productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100026392,10030996.0,24 mantra organic cloves,50 g,masala,spices & masalas,spices & masalas,whole spices,24 Mantra,0.0,0.0
100091580,10104342.0,aashirvaad coriander powder,200 g,,spices & masalas,spices & masalas,powdered spices,Aashirvaad,0.0,0.0
100047775,10055402.0,aashirvaad coriander powder,500 g,masala,spices & masalas,spices & masalas,powdered coriander,Aashirvaad,0.0,0.0
100091581,10104343.0,aashirvaad coriander powder,50 g,masala,spices & masalas,spices & masalas,powdered spices,Aashirvaad,0.0,0.0
100091579,10104341.0,aashirvaad coriander powder,100 g,masala,spices & masalas,spices & masalas,powdered spices,Aashirvaad,0.0,0.0
100048335,10056045.0,act ii diet pop corn,70 g,snacks,snacks,snacks,popcorns,ACT II,0.0,0.0
100036794,10044112.0,bambino macaroni mac masala ready in minutes,50 g,masala,spices & masalas,spices & masalas,blended spices,Bambino Macroni,0.0,0.0
100007323,10008436.0,bedekar coriander powder,200 g,masala,spices & masalas,spices & masalas,powdered spices,Bedekar,0.0,0.0
100091793,10104547.0,bedekar coriander powder,50 g,masala,spices & masalas,spices & masalas,powdered coriander,Bedekar,0.0,0.0
100091792,10104545.0,bedekar coriander powder,100 g,masala,spices & masalas,spices & masalas,powdered spices,Bedekar,0.0,0.0
100002973,10003555.0,betty crocker super moist yellow,500 g,,snacks,snacks,pre mix,Betty Crocker,0.0,0.0
100149524,10161265.0,bon sambar powder,100 g,masala,spices & masalas,spices & masalas,blended masalas,Bon,0.0,0.0
100071678,10081969.0,brijnandan sing dana,200 g,,snacks,snacks,namkeen,Brijnandan,0.0,0.0
100036281,10043504.0,chhedas diet poha chivda,170 g,snacks,snacks,snacks,namkeen,Chhedas,0.0,0.0
100045263,10052888.0,chhedas diet poha chivda,50 g,,snacks,snacks,namkeen,Chhedas,0.0,0.0
100061238,10069902.0,chhedas diet poha chivda,500 g,snacks,snacks,snacks,mixture,Chhedas,0.0,0.0
100016836,10019610.0,chings secret chowmein hakka noodles masala,20 g,masala,spices & masalas,spices & masalas,blended masalas,Ching's Secret,0.0321848849165709,0.0321848849165709
100004908,10005644.0,cornitos thai sweet chilli crisps nachos chips,150 gm,snacks,snacks,snacks,nachos,Cornitos Nachos Crisps,0.0,0.0
100004889,10005617.0,cornitos tikka masala nacho crisps,60 g,snacks,,,chips,Cornitos,0.0,0.0
100005187,10005990.0,cornitos tikka masala nacho crisps,150 g,snacks,snacks,snacks,nachos,Cornitos Nachos Crisps,0.0,0.0
100064537,10073633.0,dnv kasuri methi,25 gm,masala,spices & masalas,spices & masalas,fenugreek seeds,DNV,0.0,0.0
100084323,10096363.0,daadis diet plain khakhara,180 g,snacks,,,indian savouries,Daddi's,0.0,0.0
100020095,10023457.0,dabur hommade ginger garlic paste,200 g,masala,spices & masalas,,,Dabur,0.0,0.0
